Player,Team,Against,Home,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tobias Harris,Orlando Magic,New Orleans Pelicans,0,36:32,9,18,.500,1,2,.500,6,6,1.000,2,6,8,0,1,0,4,2,25,-4
Nikola Vučević,Orlando Magic,New Orleans Pelicans,0,35:03,7,15,.467,0,0,,1,2,.500,5,18,23,1,1,4,1,2,15,-3
Evan Fournier,Orlando Magic,New Orleans Pelicans,0,32:15,3,11,.273,2,4,.500,3,3,1.000,1,2,3,2,0,0,4,2,11,-13
Elfrid Payton,Orlando Magic,New Orleans Pelicans,0,30:46,2,8,.250,0,0,,0,0,,3,2,5,7,1,0,2,5,4,+1
Kyle O'Quinn,Orlando Magic,New Orleans Pelicans,0,21:22,2,8,.250,0,1,.000,0,0,,0,2,2,5,1,3,1,4,4,-15
Aaron Gordon,Orlando Magic,New Orleans Pelicans,0,28:27,5,8,.625,1,2,.500,0,0,,2,1,3,0,1,1,3,3,11,-18
Ben Gordon,Orlando Magic,New Orleans Pelicans,0,23:01,1,8,.125,0,2,.000,3,4,.750,0,4,4,1,0,0,0,3,5,-15
Luke Ridnour,Orlando Magic,New Orleans Pelicans,0,17:14,0,3,.000,0,0,,2,2,1.000,0,2,2,1,0,0,2,2,2,-18
Dewayne Dedmon,Orlando Magic,New Orleans Pelicans,0,8:14,1,2,.500,0,0,,1,2,.500,2,1,3,0,0,1,1,1,3,-1
Willie Green,Orlando Magic,New Orleans Pelicans,0,4:07,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-3
Devyn Marble,Orlando Magic,New Orleans Pelicans,0,2:59,2,2,1.000,0,0,,0,2,.000,0,1,1,0,0,0,0,1,4,+4
Maurice Harkless,Orlando Magic,New Orleans Pelicans,0,Did Not Play,,,,,,,,,,,,,,,,,,,
Andrew Nicholson,Orlando Magic,New Orleans Pelicans,0,Did Not Play,,,,,,,,,,,,,,,,,,,
Anthony Davis,New Orleans Pelicans,Orlando Magic,1,36:20,10,22,.455,0,0,,6,9,.667,9,8,17,2,3,9,0,1,26,+19
Tyreke Evans,New Orleans Pelicans,Orlando Magic,1,34:40,5,15,.333,0,1,.000,2,5,.400,2,7,9,6,0,0,0,0,12,+10
Ömer Aşık,New Orleans Pelicans,Orlando Magic,1,33:30,7,10,.700,0,0,,0,3,.000,7,10,17,2,0,5,3,4,14,+11
Eric Gordon,New Orleans Pelicans,Orlando Magic,1,31:31,3,8,.375,1,2,.500,1,3,.333,0,4,4,0,2,2,3,1,8,+17
Jrue Holiday,New Orleans Pelicans,Orlando Magic,1,27:02,4,11,.364,0,3,.000,0,0,,0,2,2,4,3,1,2,2,8,+9
Ryan Anderson,New Orleans Pelicans,Orlando Magic,1,22:21,9,22,.409,3,6,.500,1,3,.333,7,2,9,0,0,0,0,2,22,+18
Austin Rivers,New Orleans Pelicans,Orlando Magic,1,19:49,2,5,.400,0,2,.000,3,6,.500,0,1,1,3,1,0,0,1,7,+6
Jimmer Fredette,New Orleans Pelicans,Orlando Magic,1,17:48,0,6,.000,0,3,.000,2,2,1.000,0,0,0,2,1,0,0,3,2,+3
John Salmons,New Orleans Pelicans,Orlando Magic,1,9:32,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,3,0,+10
Alexis Ajinça,New Orleans Pelicans,Orlando Magic,1,2:29,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-6
Jeff Withey,New Orleans Pelicans,Orlando Magic,1,2:29,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-6
Luke Babbitt,New Orleans Pelicans,Orlando Magic,1,2:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Darius Miller,New Orleans Pelicans,Orlando Magic,1,Did Not Play,,,,,,,,,,,,,,,,,,,
